"","five_year_period","cown","cc3","average_crisis_tally","average_banking_crisis","average_currency_crisis","average_domestic_debt_crisis","average_external_debt_crisis","average_inflation_crisis","average_gdppc","average_pop","average_growth","democracy","independence","gold_standard"
"70",1800,920,"NZL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"71",1805,2,"USA",0,0,0,0,0,0,2646.02192,NA,0.575619643524868,1,1,0
"72",1805,20,"CAN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"73",1805,42,"DOM",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"74",1805,70,"MEX",0.2,0,0,0,0,0.2,1170.2,NA,-2.17158998147612,NA,0,0
"75",1805,90,"GTM",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"76",1805,91,"HND",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"77",1805,92,"SLV",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"78",1805,93,"NIC",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"79",1805,94,"CRI",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"80",1805,95,"PAN",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"81",1805,100,"COL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"82",1805,101,"VEN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"83",1805,130,"ECU",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"84",1805,135,"PER",0,0,0,0,0,0,1030.2,NA,0.883703467850811,NA,0,0
"85",1805,140,"BRA",0.2,0,0,0,0,0.2,NA,NA,NA,NA,0,0
"86",1805,145,"BOL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"87",1805,150,"PRY",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"88",1805,155,"CHL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"89",1805,160,"ARG",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"90",1805,165,"URY",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"91",1805,200,"GBR",0,0,0,0,0,0,3329.4,NA,0.732066085747796,0,1,0
"92",1805,205,"IRL",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA
"93",1805,210,"NLD",1,0,0,0,1,0,3723.73085,NA,-11.3406614701585,NA,1,0
"94",1805,211,"BEL",0.2,0,0,0,0,0.2,NA,NA,NA,NA,0,0
"95",1805,220,"FRA",0.8,0.4,0,0,0,0,NA,NA,NA,0,1,0
"96",1805,225,"CHE",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA
"97",1805,230,"ESP",0,0,0,0,0,0,1501.08,NA,NA,0,1,NA
"98",1805,235,"PRT",0.2,0,0,0,0,0.2,1429.29066,NA,-0.671274167525323,0,1,0
"99",1805,255,"DEU",0.4,0,0,0,0.2,0.2,NA,NA,NA,0,1,0
"100",1805,290,"POL",0.2,0,0,0,0,0.2,NA,NA,NA,NA,0,0
"101",1805,305,"AUT",2,0,0.6,0,1,0.4,NA,NA,NA,0,1,0
"102",1805,310,"HUN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"103",1805,325,"ITA",0,0,0,0,0,0,2657.39344,NA,1.1281740600933,NA,1,0
"104",1805,350,"GRC",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"105",1805,360,"ROU",0.2,0,0,0,0,0.2,NA,NA,NA,NA,0,0
"106",1805,365,"RUS",0.8,0,0.8,0,0,0,NA,NA,NA,0,1,0
"107",1805,375,"FIN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"108",1805,380,"SWE",0,0,0,0,0,0,1331.8,NA,-1.32861549571146,0,1,0
"109",1805,385,"NOR",0.6,0,0,0,0,0.6,NA,NA,NA,NA,0,0
"110",1805,390,"DNK",0,0,0,0,0,0,NA,NA,NA,0,1,0
"111",1805,395,"ISL",NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA
"112",1805,437,"CIV",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"113",1805,452,"GHA",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"114",1805,475,"NGA",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"115",1805,482,"CAF",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"116",1805,501,"KEN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"117",1805,540,"AGO",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"118",1805,551,"ZMB",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"119",1805,552,"ZWE",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"120",1805,560,"ZAF",0,0,0,0,0,0,1374.4,NA,-2.31010796710461,NA,0,0
"121",1805,590,"MUS",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"122",1805,600,"MAR",0,0,0,0,0,0,NA,NA,NA,0,0,NA
"123",1805,615,"DZA",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"124",1805,616,"TUN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"125",1805,640,"TUR",0.6,0,0.2,0,0,0.4,NA,NA,NA,0,1,NA
"126",1805,651,"EGY",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"127",1805,710,"CHN",0,0,0,0,0,0,NA,NA,NA,0,1,NA
"128",1805,713,"TWN",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"129",1805,732,"KOR",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"130",1805,740,"JPN",0,0,0,0,0,0,NA,NA,NA,0,1,0
"131",1805,750,"IND",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"132",1805,775,"MMR",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"133",1805,780,"LKA",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"134",1805,800,"THA",0,0,0,0,0,0,NA,NA,NA,0,1,0
"135",1805,820,"MYS",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"136",1805,830,"SGP",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"137",1805,840,"PHL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"138",1805,850,"IDN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"139",1805,900,"AUS",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"140",1805,920,"NZL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"141",1810,2,"USA",0.8,0.2,0.2,0,0,0.2,2763.26864,NA,1.21434501907231,1,1,0
"142",1810,20,"CAN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"143",1810,42,"DOM",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"144",1810,70,"MEX",0.2,0,0,0,0,0.2,1058.5,NA,-3.06152236845306,NA,0,0
"145",1810,90,"GTM",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"146",1810,91,"HND",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"147",1810,92,"SLV",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"148",1810,93,"NIC",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"149",1810,94,"CRI",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"150",1810,95,"PAN",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"151",1810,100,"COL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"152",1810,101,"VEN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"153",1810,130,"ECU",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"154",1810,135,"PER",0,0,0,0,0,0,961.8,NA,-2.10601363280761,NA,0,0
"155",1810,140,"BRA",0.2,0,0,0,0,0.2,NA,NA,NA,NA,0,0
"156",1810,145,"BOL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"157",1810,150,"PRY",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"158",1810,155,"CHL",0,0,0,0,0,0,818.2,NA,-1.17075391231322,NA,0,0
"159",1810,160,"ARG",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"160",1810,165,"URY",0,0,0,0,0,0,NA,NA,NA,NA,1,NA
"161",1810,200,"GBR",0.8,0.4,0,0,0,0,3322.8,NA,-0.5535553830397,0,1,0
"162",1810,205,"IRL",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA
"163",1810,210,"NLD",1.2,0,0.2,0,1,0,NA,NA,NA,NA,1,0
"164",1810,211,"BEL",0.2,0,0,0,0,0.2,2358,NA,NA,NA,0,0
"165",1810,220,"FRA",0.4,0,0.4,0,0,0,NA,NA,NA,0,1,0
"166",1810,225,"CHE",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA
"167",1810,230,"ESP",0.8,0.2,0,0,0,0.4,NA,NA,NA,0,1,NA
"168",1810,235,"PRT",0.2,0,0,0,0,0.2,1171.11112,NA,-1.77905265702358,0,1,0
"169",1810,255,"DEU",1.2,0,0.4,0,0.6,0.2,NA,NA,NA,0,1,0
"170",1810,290,"POL",0.6,0,0,0,0,0.6,688,NA,1.51284037618311,NA,0,0
"171",1810,305,"AUT",2,0,0.6,0,1,0.4,NA,NA,NA,0,1,0
"172",1810,310,"HUN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"173",1810,325,"ITA",0.4,0,0,0,0,0.4,2556.01312,NA,-0.99332626079339,NA,1,0
"174",1810,350,"GRC",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"175",1810,360,"ROU",0.2,0,0,0,0,0.2,NA,NA,NA,NA,0,0
"176",1810,365,"RUS",0.4,0,0.4,0,0,0,NA,NA,NA,0,1,0
"177",1810,375,"FIN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"178",1810,380,"SWE",1.4,0.8,0,0,0.2,0.2,1356,NA,2.35931125029934,0,1,0
"179",1810,385,"NOR",0.6,0.2,0,0,0,0.4,NA,NA,NA,NA,0,0
"180",1810,390,"DNK",0.6,0.2,0,0.2,0,0,NA,NA,NA,0,1,0
"181",1810,395,"ISL",NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA
"182",1810,437,"CIV",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"183",1810,452,"GHA",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"184",1810,475,"NGA",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"185",1810,482,"CAF",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"186",1810,501,"KEN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"187",1810,540,"AGO",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"188",1810,551,"ZMB",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"189",1810,552,"ZWE",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"190",1810,560,"ZAF",0,0,0,0,0,0,1316.2,NA,3.66525314055565,NA,0,0
"191",1810,590,"MUS",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"192",1810,600,"MAR",0,0,0,0,0,0,NA,NA,NA,0,0,NA
"193",1810,615,"DZA",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"194",1810,616,"TUN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"195",1810,640,"TUR",0.4,0,0.2,0,0,0.2,NA,NA,NA,0,1,NA
"196",1810,651,"EGY",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"197",1810,710,"CHN",0,0,0,0,0,0,901,NA,NA,0,1,NA
"198",1810,713,"TWN",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"199",1810,732,"KOR",0.6,0,0,0,0,0.6,NA,NA,NA,NA,0,NA
"200",1810,740,"JPN",0,0,0,0,0,0,NA,NA,NA,0,1,0
"201",1810,750,"IND",0.2,0,0,0,0,0.2,983,NA,NA,NA,0,0
"202",1810,775,"MMR",0,0,0,0,0,0,NA,NA,NA,NA,0,NA
"203",1810,780,"LKA",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"204",1810,800,"THA",0,0,0,0,0,0,NA,NA,NA,0,1,0
"205",1810,820,"MYS",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"206",1810,830,"SGP",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"207",1810,840,"PHL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"208",1810,850,"IDN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"209",1810,900,"AUS",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"210",1810,920,"NZL",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"211",1815,2,"USA",1.6,0.6,0,0,0,0,2713.64448,NA,-0.88907433097442,1,1,0
"212",1815,20,"CAN",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"213",1815,42,"DOM",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"214",1815,70,"MEX",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"215",1815,90,"GTM",0,0,0,0,0,0,NA,NA,NA,NA,0,0
"216",1815,91,"HND",0,0,0,0,0,0,NA,NA,NA,NA,0,0
